vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,25,1,2000000,4000000000,1595,2395,25,2370,1570,800,0,0.4711157231671033,0.4711157231671033
1,37,1,2000000,3000000000,2395,2995,37,2958,1570,600,0,0.4711157231671033,0.4711157231671033
1,46,1,2000000,6000000000,2995,4195,46,4149,1570,1200,0,0.4711157231671033,0.4711157231671033
1,57,1,2000000,6000000000,4195,5395,57,5338,1570,1200,0,0.4711157231671033,0.4711157231671033
1,3,0,4000000,6000000000,3,6003,3,6000,0,6000,0.6,0,0.6
1,81,1,2000000,9000000000,5395,7195,81,7114,1570,1800,0,0.4711260431651564,0.4711260431651564
1,124,1,2000000,2000000000,7195,7595,124,7471,1570,400,0,0.47113636903464134,0.47113636903464134
1,125,1,2000000,9000000000,7595,9395,125,9270,1570,1800,0,0.47113636903464134,0.47113636903464134
1,154,1,2000000,2000000000,9395,9795,154,9641,1570,400,0,0.4711467007757539,0.4711467007757539
