time,vehicle_id,speed,angle,x,y
0,1,0.0,90.0,5.1,-1.65
1,1,1.0,90.0,6.1,-1.65
2,1,2.0,90.0,8.1,-1.65
3,1,3.0,90.0,11.1,-1.65
4,1,4.0,90.0,15.1,-1.65
5,1,5.0,90.0,20.1,-1.65
6,1,6.0,90.0,26.1,-1.65
7,1,7.0,90.0,33.1,-1.65
8,1,8.0,90.0,41.1,-1.65
9,1,9.0,90.0,50.1,-1.65
10,1,10.0,90.0,60.1,-1.65
11,1,11.0,90.0,71.1,-1.65
12,1,12.0,90.0,83.1,-1.65
13,1,13.0,90.0,96.1,-1.65
14,1,14.0,90.0,110.1,-1.65
15,1,14.73,90.0,124.83,-1.65
16,1,14.73,90.0,139.57,-1.65
17,1,14.73,90.0,154.3,-1.65
18,1,14.73,90.0,169.04,-1.65
19,1,14.73,90.0,183.77,-1.65
20,1,14.73,90.0,198.5,-1.65
21,1,14.73,90.0,213.24,-1.65
22,1,14.73,90.0,227.97,-1.65
